class,hash,time,token,type,amount,from,to,px,USDAmount,priority,fee
PERP,0x1f3bbd5538a2bccc5a240422cb862f014e00f8ad4aa10fdaec1a1a358e813a04,1746362786233,MEW-USD,Close Short,8246,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.002717,22.404382,0,0
PERP,0xeb25c9e1b5a66d334e350422cb86260154006fa9413eea994ca7ffac946cf33f,1746362785629,DOT-USD,Close Long,-2.9,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,3.9651,-11.49879,0,0
PERP,0xd300f684f5f0bfe6de650422cb8624017801035efd6abb31cabdcc98cdf0421d,1746362785476,SUI-USD,Open Long,260,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,3.2465,844.09,0,0
PERP,0x644bcbd398200f60df1e0422cb862401780104516fccb78d3ff406ed33f80d4d,1746362785476,SUI-USD,Open Long,347.1,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,3.2463,1126.7907300000002,0,0
PERP,0xa0ed0bac2ee5f182edd40422cb860702010401018b2a448c4c73388c0a1c305f,1746362783599,ETHFI-USD,Close Long,-70,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,0.52837,-36.9859,0,0
PERP,0xfa1f4053eb440d36f1250422cb8605015e006eaad7fa8932ebab6f2fac92dcdd,1746362783453,ETH-USD,Close Long,-0.4217,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,1831.9,-772.51223,0,0
PERP,0x5992846a8f5a83b8a8530422cb85fb018c0101846b7dcc32049d7db4988bbca9,1746362782795,VIRTUAL-USD,Close Long,-87.3,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,1.6359,-142.81407,0,0
PERP,0x8c40679379e94bd4180e0422cb85d7020109003f6589ad8b74ce895237e2f8ed,1746362779568,AIXBT-USD,Open Short,-111,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,0.16861,-18.71571,0,0
PERP,0x40ac4ba85ce3633a8aa00422cb85d3019500a2258c9ad00a5f24a874dea7f370,1746362779188,USUAL-USD,Open Long,132,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.11703,15.44796,0,0
PERP,0xd083ecd57558a8f92b700422cb85c701ac01014fd6a53957306f0f13d474da2a,1746362778159,VIRTUAL-USD,Close Long,-315.9,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,1.6361,-516.84399,0,0
PERP,0x8e77c80da04698defa3e0422cb85b601e800aa0eb1cf30cc0bb18604e6dd1f5a,1746362776745,LDO-USD,Close Short,24,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.8136,19.5264,0,0
PERP,0xccc7fdf209cc8fe9aa030422cb85a601b9009e58cb2be58ea375f42a59e56c98,1746362775517,TAO-USD,Open Short,-0.615,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,350.48,-215.5452,0,0
PERP,0xc284300101af77acf5ec0422cb859801480057f3da42272d3692e3a0ed250a20,1746362774518,CFX-USD,Close Long,-352,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,0.072851,-25.643552,0,0
PERP,0xbbee3fb41de3656bb9be0422cb8582016a00faf224d632bc7b510a64efffec10,1746362772802,BLUR-USD,Open Long,192,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.097675,18.7536,0,0
PERP,0x577eaad510c7f79b2cf40422cb85690148002224a201a72f4a728ae45ff3abd0,1746362770659,WCT-USD,Open Long,47,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.37861,17.79467,0,0
PERP,0x8d79ae2f16bf4a00d8fb0422cb85690149003b4e52945415b14fdb519425f1d1,1746362770659,USUAL-USD,Open Long,139.4,0xffffffffffffffffffffffffffffffffffffffff,0x010461c14e146ac35fe42271bdc1134ee31c703a,0.11712,16.326528,0,0
PERP,0xd6fb317e134e4c091c600422cb856601450050cd2402635b7d867e6cb87370cc,1746362770457,WIF-USD,Open Short,-51,0x010461c14e146ac35fe42271bdc1134ee31c703a,0xffffffffffffffffffffffffffffffffffffffff,0.55767,-28.44117,0,0
