szDecimals,name,maxLeverage,funding,openInterest,prevDayPx,dayNtlVlm,premium,oraclePx,markPx,midPx,impactPxs,dayBaseVlm,isDelisted,onlyIsolated
5,BTC,40,-0.0000237289,14089.2663,83885.0,3203866748.0120997429,-0.0007122253,84243.0,84193.0,84182.5,"['84182.0', '84183.0']",38075.49183,,
4,ETH,25,-0.000002736,317110.2037999999,1597.4,1455020725.2873995304,-0.0005033979,1589.2,1588.4,1588.35,"['1588.3', '1588.4']",921265.9269999997,,
2,ATOM,5,-0.000016356,624634.92,4.0601,1073870.0649239998,-0.0013225203,4.0075,4.0023,4.0004,"['3.9993', '4.0022']",267835.3300000001,,
1,MATIC,20,0.0,0.0,0.37621,0.0,,0.3754,0.37621,,,0.0,True,
1,DYDX,5,0.0000054944,2636009.6000000001,0.55192,247880.236834,-0.0010082493,0.5455,0.54475,0.5446,"['0.54408', '0.54495']",452224.7,,
2,SOL,20,-0.0000143054,1624922.7400000005,126.96,969623037.7883999348,-0.0006860279,131.19,131.18,131.095,"['131.09', '131.1']",7535835.379999999,,
2,AVAX,10,0.0000118025,1076556.76,18.916,12146551.4936000034,-0.000665786,18.925,18.914,18.9115,"['18.911', '18.9124']",642157.9899999998,,
3,BNB,10,0.0000125,19041.238,582.69,7084333.3433999978,-0.0006862947,582.84,582.55,582.435,"['582.43', '582.44']",12180.791,,
1,APE,5,0.0000095271,1237589.3999999999,0.4139,473026.81796,-0.0013251415,0.41505,0.41455,0.41429,"['0.4141', '0.4145']",1154507.7999999996,,
1,OP,10,-0.0000331034,3651620.3999999999,0.64317,686540.4786559995,-0.001205857,0.63855,0.63763,0.63754,"['0.63734', '0.63778']",1081213.4999999998,,
2,LTC,10,0.0000061512,287670.22,76.072,4306398.6721699992,-0.0005665456,74.31,74.264,74.2495,"['74.235', '74.2679']",57581.73,,
1,ARB,10,-0.0000852901,16451308.1999999993,0.28224,3048580.7199390004,-0.0011857708,0.2783,0.278,0.27789,"['0.27779', '0.27797']",10949246.2000000011,,
0,DOGE,10,-0.000023793,148723370.0,0.15546,5019077.6891300026,-0.0010933882,0.15548,0.15536,0.155305,"['0.1553', '0.15531']",32586131.0,,
1,INJ,10,-0.0000168623,351839.8,7.8569,528288.14737,-0.001117304,7.715,7.7071,7.70375,"['7.70253', '7.70638']",68755.9,,
1,SUI,10,-0.0000177097,13666238.4000000004,2.1013,20525376.2339500114,-0.000875231,2.0566,2.0555,2.0546,"['2.05426', '2.0548']",9843817.8999999948,,
